col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
723,123,590,194,991,4,429,840,233,490,903,781,279,696,217,0,898,829,861,131
33,309,806,24,0,321,975,634,250,363,28,537,345,587,130,883,333,576,351,284
994,441,870,98,199,43,631,608,656,593,655,54,861,222,690,876,770,47,440,951
416,973,241,442,958,644,337,364,874,871,828,972,695,145,775,165,644,203,615,974
523,965,629,808,117,303,930,994,302,498,168,765,629,238,259,523,137,976,631,789
288,645,926,869,419,831,890,167,724,10,815,554,17,103,329,235,816,167,815,243
404,900,76,369,550,813,346,180,794,317,444,383,908,239,232,844,275,706,341,587
820,843,32,576,531,989,913,615,551,641,257,132,541,684,485,796,841,33,872,930
238,876,241,957,316,925,94,591,838,293,181,129,863,47,455,559,994,605,109,951
966,394,619,646,992,6,620,842,53,155,264,582,810,132,381,182,833,109,529,651
887,210,228,311,358,937,942,241,30,188,645,608,737,392,767,457,76,929,696,874
201,558,308,574,444,755,898,860,550,475,978,39,819,541,256,781,766,555,668,934
698,970,142,764,939,232,564,206,415,389,402,509,629,551,55,444,528,476,203,910
631,243,748,610,767,322,615,525,238,440,581,598,179,774,139,684,862,914,882,567
356,329,647,462,909,216,759,866,98,361,50,9,349,555,797,763,700,356,944,132
315,70,775,102,79,31,679,486,830,420,143,970,615,387,39,281,256,353,541,351
392,266,667,812,737,845,593,300,294,865,104,27,742,774,132,42,507,712,56,504
37,94,17,556,330,455,828,119,42,108,542,577,202,808,556,528,168,770,853,373
973,124,76,673,493,167,116,890,690,441,150,94,818,542,652,71,229,275,774,671
991,567,673,934,849,725,845,704,189,618,342,95,452,489,724,58,347,715,225,474
49,433,107,670,652,164,54,315,781,151,246,139,562,405,790,308,317,905,731,505
168,638,318,574,562,996,836,845,369,843,804,607,884,313,437,743,4,892,758,361
398,650,853,438,478,829,224,516,867,424,844,137,349,49,292,591,880,409,447,294
764,635,429,883,184,434,180,331,439,127,857,957,207,117,678,92,241,571,702,325
978,37,238,331,813,987,105,780,323,66,890,543,942,300,483,673,422,121,348,607
299,444,185,54,952,624,359,268,579,152,15,545,540,601,671,674,967,33,288,356
802,375,447,586,269,156,576,471,9,481,846,791,771,985,671,486,712,522,233,571
294,8,786,750,993,752,283,547,100,283,486,578,843,597,123,153,388,224,17,897
969,850,334,765,340,351,718,655,836,648,424,977,493,733,346,378,647,251,166,115
242,554,347,837,234,840,916,350,885,712,511,35,188,931,908,312,524,718,587,859
915,578,483,709,776,771,390,159,47,590,906,287,621,806,766,787,695,246,786,385
